tenure_month,at_risk,events,hazard,survival,survival_se,survival_lo,survival_hi
22,4102,27,0.006582155046318869,0.7959622948540788,0.005115555183913138,0.785935806693609,0.8059887830145486
23,4012,13,0.0032402791625124627,0.7933831548159175,0.005148749552485211,0.7832916056930465,0.8034747039387885
24,3927,23,0.005856888209829387,0.7887363983705988,0.005208963690501141,0.7785268295372166,0.798945967203981
25,3833,23,0.006000521784503,0.7840035684299456,0.005270361177802398,0.7736736605214528,0.7943334763384383
26,3754,15,0.003995737879595098,0.7808708956738323,0.005311007619678061,0.7704613207392633,0.7912804706084012
27,3675,13,0.0035374149659863946,0.7781086312809725,0.005347190988945805,0.7676281369426388,0.7885891256193063
28,3603,12,0.0033305578684429643,0.7755170954565563,0.005381460627439916,0.7649694326267741,0.7860647582863386
29,3546,15,0.004230118443316413,0.7722365662879583,0.005424947041878731,0.761603670085876,0.7828694624900406
30,3474,16,0.004605641911341394,0.7686799211927922,0.00547234434615418,0.75795412627433,0.7794057161112543
31,3402,16,0.004703115814226925,0.7650647304993516,0.005520737208208867,0.7542440855712622,0.7758853754274411
32,3337,19,0.005693736889421637,0.7607086532205121,0.005579020811061114,0.7497737724308323,0.7716435340101918
33,3268,14,0.004283965728274173,0.7574498034209138,0.0056226944168638335,0.7464293223638607,0.768470284477967
34,3204,12,0.003745318352059925,0.7546129127713973,0.005660960372344792,0.7435174304416015,0.7657083951011932
35,3139,15,0.004778591908251036,0.7510069256125662,0.005709961809680661,0.7398154004655921,0.7621984507595403
36,3051,10,0.0032776138970829235,0.7485454148763729,0.005744058431998145,0.7372870603496565,0.7598037694030894
37,3001,15,0.004998333888703766,0.7448039349619625,0.0057960141109793485,0.733443747304443,0.7561641226194821
38,2936,13,0.0044277929155313355,0.7415060973752781,0.0058420746445249855,0.7300556310720091,0.752956563678547
39,2877,14,0.004866180048661801,0.7378977951982694,0.0058927025962525435,0.7263480981096144,0.7494474922869243
40,2821,13,0.004608294930875576,0.7344973445291529,0.005940539751995876,0.722853886615241,0.7461408024430649
41,2757,14,0.005077983315197679,0.7307675792685768,0.0059934235689984156,0.7190204690733399,0.7425146894638137
42,2687,14,0.005210271678451805,0.7269600816467829,0.006047965860337078,0.7151060685605223,0.7388140947330436
43,2622,15,0.005720823798627002,0.7228012711110462,0.0061079478918424045,0.7108296932430351,0.7347728489790573
44,2557,6,0.0023464998044583495,0.7211052180697219,0.006132736637387139,0.7090850542604431,0.7331253818790008
45,2506,6,0.0023942537909018356,0.7193787091677194,0.006158424499567476,0.7073081971485672,0.7314492211868716
46,2445,12,0.0049079754601227,0.7158480161165895,0.006211967633810221,0.7036725595543215,0.7280234726788576
47,2371,14,0.005904681568958245,0.7116211615296506,0.006277165769658384,0.6993179166211202,0.723924406438181
48,2303,9,0.0039079461571862786,0.7088401843460784,0.0063207120234757075,0.6964515887800661,0.7212287799120908
49,2239,15,0.006699419383653417,0.7040913666751579,0.006396189267190857,0.6915548357114638,0.716627897638852
50,2173,10,0.004601932811780948,0.7008511855123639,0.006448302718818527,0.6882125121834796,0.7134898588412483
51,2105,8,0.003800475059382423,0.6981876180614855,0.006492196084073361,0.6854629137367018,0.7109123223862693
52,2037,8,0.0039273441335297005,0.6954455950155887,0.006538680382204679,0.6826297814664675,0.7082614085647099
53,1957,14,0.007153806847215125,0.6904705115561005,0.006625717321961061,0.6774841056050568,0.7034569175071442
54,1887,13,0.00688924218335983,0.6857136929815222,0.006710134759450457,0.6725618288529993,0.698865557110045
55,1819,9,0.004947773501924134,0.6823209369414817,0.006771565825065433,0.6690486679243534,0.69559320595861
56,1755,10,0.005698005698005698,0.6784330683549205,0.00684368160960408,0.6650194524000964,0.6918466843097445
57,1675,8,0.004776119402985075,0.6751927910135238,0.006906215626297677,0.6616566083859804,0.6887289736410672
58,1610,11,0.0068322981366459624,0.6705796725656054,0.00699769265975875,0.6568641949524782,0.6842951501787325
59,1543,8,0.005184705119896306,0.6671029147039561,0.007068550016624908,0.6532485566713713,0.6809572727365409
60,1483,6,0.004045853000674309,0.6644039143747426,0.007125314614947447,0.6504382977294456,0.6783695310200395
61,1407,8,0.005685856432125089,0.6606262091046659,0.007208893524896338,0.646496777795869,0.6747556404134627
62,1331,5,0.003756574004507889,0.6581445178608467,0.007266743833595872,0.6439016999469988,0.6723873357746947
63,1261,4,0.0031720856463124504,0.6560568270825411,0.007318281668121338,0.6417129950130233,0.6704006591520589
64,1189,4,0.00336417157275021,0.6538497393547613,0.007376395686524994,0.6393920038091724,0.6683074749003503
65,1109,9,0.008115419296663661,0.6485434745628832,0.0075256070978502124,0.6337932846510967,0.6632936644746696
66,1033,13,0.012584704743465635,0.640381746422208,0.0077638857124034425,0.6251645304258973,0.6555989624185188
67,944,10,0.01059322033898305,0.6335980414812948,0.007972498204223858,0.617971945001016,0.6492241379615736
68,846,9,0.010638297872340425,0.6268576367846853,0.00819816924634621,0.6107892250618467,0.6429260485075239
69,746,8,0.010723860589812333,0.6201353028781471,0.008447742471783797,0.6035777276334509,0.6366928781228434
70,651,11,0.016897081413210446,0.6096568261782092,0.008876150508072835,0.5922595711823864,0.6270540811740319
71,532,6,0.011278195488721804,0.6027809973115377,0.00920921155855839,0.5847309426567632,0.6208310519663122
72,362,6,0.016574585635359115,0.5927901520522304,0.009918766870762761,0.5733493689855353,0.6122309351189255
